box_name,method,K,COS,TP,FP,FN,Precison,Recall,cls_res
bbox_pre3,pam,4,0.01,2.0,30.0,1.0,0.0625,0.6666666666666666,tensor(0.)
bbox_pre4,pam,4,0.01,0.0,2.0,3.0,0.0,0.0,tensor(0.)
bbox_pre3a,pam,4,0.01,0.0,14.0,3.0,0.0,0.0,tensor(0.)
bbox_pre4a,pam,4,0.01,0.0,1.0,3.0,0.0,0.0,tensor(0.)
bbox_pre34,pam,4,0.01,1.0,4.0,2.0,0.2,0.3333333333333333,tensor(0.)
bbox_pre3a4a,pam,4,0.01,0.0,2.0,3.0,0.0,0.0,tensor(0.)
bbox_pre33a,pam,4,0.01,2.0,12.0,1.0,0.14285714285714285,0.6666666666666666,tensor(0.)
bbox_pre34a,pam,4,0.01,2.0,2.0,1.0,0.5,0.6666666666666666,tensor(0.)
bbox_pre33a4a,pam,4,0.01,2.0,0.0,1.0,1.0,0.6666666666666666,tensor(0.)
bbox_pre43a,pam,4,0.01,0.0,14.0,3.0,0.0,0.0,tensor(0.)
bbox_pre44a,pam,4,0.01,0.0,2.0,3.0,0.0,0.0,tensor(0.)
bbox_pre43a4a,pam,4,0.01,0.0,2.0,3.0,0.0,0.0,tensor(0.)
bbox_pre3a34,pam,4,0.01,0.0,5.0,3.0,0.0,0.0,tensor(0.)
bbox_pre4a34,pam,4,0.01,0.0,3.0,3.0,0.0,0.0,tensor(0.)
